n = 1, k = 1, res = 1 time: 108.01999999999978s
n = 2, k = 1, res = 2 time: 116.54999999999971s
n = 2, k = 2, res = 1 time: 111.04100000000061s
n = 3, k = 1, res = 3 time: 120.44700000000131s
n = 3, k = 2, res = 3 time: 119.83000000000077s
n = 3, k = 3, res = 1 time: 114.67299999999847s
n = 4, k = 1, res = 4 time: 124.84700000000126s
n = 4, k = 2, res = 6 time: 124.6679999999989s
n = 4, k = 3, res = 4 time: 125.34299999999999s
n = 4, k = 4, res = 1 time: 118.3730000000005s
n = 5, k = 1, res = 5 time: 134.5609999999997s
n = 5, k = 2, res = 10 time: 133.7980000000005s
n = 5, k = 3, res = 10 time: 131.86000000000143s
n = 5, k = 4, res = 5 time: 130.87199999999964s
n = 5, k = 5, res = 1 time: 126.33199999999789s
n = 6, k = 1, res = 6 time: 139.21300000000025s
n = 6, k = 2, res = 15 time: 141.0139999999993s
n = 6, k = 3, res = 20 time: 139.97100000000097s
n = 6, k = 4, res = 15 time: 139.2979999999988s
n = 6, k = 5, res = 6 time: 140.4519999999998s
n = 6, k = 6, res = 1 time: 136.38299999999992s
n = 7, k = 1, res = 7 time: 149.80299999999946s
n = 7, k = 2, res = 21 time: 145.7569999999997s
n = 7, k = 3, res = 35 time: 149.1600000000015s
n = 7, k = 4, res = 35 time: 145.31599999999978s
n = 7, k = 5, res = 21 time: 146.40100000000044s
n = 7, k = 6, res = 7 time: 149.82400000000064s
n = 7, k = 7, res = 1 time: 142.34999999999997s
n = 8, k = 1, res = 8 time: 181.94800000000066s
n = 8, k = 2, res = 28 time: 194.57500000000127s
n = 8, k = 3, res = 56 time: 161.14299999999915s
n = 8, k = 4, res = 70 time: 155.2829999999994s
n = 8, k = 5, res = 56 time: 153.1109999999991s
n = 8, k = 6, res = 28 time: 154.42399999999967s
n = 8, k = 7, res = 8 time: 155.78199999999987s
n = 8, k = 8, res = 1 time: 150.79899999999924s
n = 9, k = 1, res = 9 time: 163.40900000000101s
n = 9, k = 2, res = 36 time: 168.59600000000086s
n = 9, k = 3, res = 84 time: 159.58499999999987s
n = 9, k = 4, res = 126 time: 170.3319999999997s
n = 9, k = 5, res = 126 time: 161.4060000000017s
n = 9, k = 6, res = 84 time: 162.03699999999932s
n = 9, k = 7, res = 36 time: 163.58000000000095s
n = 9, k = 8, res = 9 time: 165.80199999999934s
n = 9, k = 9, res = 1 time: 158.68800000000016s
n = 10, k = 1, res = 10 time: 168.79599999999994s
n = 10, k = 2, res = 45 time: 167.74099999999902s
n = 10, k = 3, res = 120 time: 167.78600000000088s
n = 10, k = 4, res = 210 time: 166.385s
n = 10, k = 5, res = 252 time: 164.5109999999983s
n = 10, k = 6, res = 210 time: 166.35399999999967s
n = 10, k = 7, res = 120 time: 170.36199999999945s
n = 10, k = 8, res = 45 time: 173.52199999999928s
n = 10, k = 9, res = 10 time: 170.9190000000005s
n = 10, k = 10, res = 1 time: 163.45299999999784s
n = 11, k = 1, res = 11 time: 174.74299999999943s
n = 11, k = 2, res = 55 time: 176.8280000000022s
n = 11, k = 3, res = 165 time: 176.17800000000017s
n = 11, k = 4, res = 330 time: 180.3789999999994s
n = 11, k = 5, res = 462 time: 175.3809999999989s
n = 11, k = 6, res = 462 time: 175.9009999999961s
n = 11, k = 7, res = 330 time: 177.57800000000046s
n = 11, k = 8, res = 165 time: 179.68900000000065s
n = 11, k = 9, res = 55 time: 184.60800000000165s
n = 11, k = 10, res = 11 time: 177.09699999999717s
n = 11, k = 11, res = 1 time: 171.2429999999987s
n = 12, k = 1, res = 12 time: 182.62299999999954s
n = 12, k = 2, res = 66 time: 184.0649999999977s
n = 12, k = 3, res = 220 time: 182.37000000000057s
n = 12, k = 4, res = 495 time: 182.32100000000085s
n = 12, k = 5, res = 792 time: 185.86299999999943s
n = 12, k = 6, res = 924 time: 181.8469999999994s
n = 12, k = 7, res = 792 time: 182.66899999999976s
n = 12, k = 8, res = 495 time: 183.6490000000035s
n = 12, k = 9, res = 220 time: 185.13800000000026s
n = 12, k = 10, res = 66 time: 183.68099999999998s
n = 12, k = 11, res = 12 time: 183.89599999999893s
n = 12, k = 12, res = 1 time: 183.62699999999955s
