n = 1, k = 1, res = 1 time: 102.72299999999998s
n = 2, k = 1, res = 2 time: 166.43900000000002s
n = 2, k = 2, res = 1 time: 124.026s
n = 3, k = 1, res = 3 time: 103.4750000000001s
n = 3, k = 2, res = 3 time: 102.75099999999995s
n = 3, k = 3, res = 1 time: 101.74000000000017s
n = 4, k = 1, res = 4 time: 102.16200000000009s
n = 4, k = 2, res = 6 time: 131.64700000000002s
n = 4, k = 3, res = 4 time: 101.51300000000002s
n = 4, k = 4, res = 1 time: 101.88000000000002s
n = 5, k = 1, res = 5 time: 102.16400000000014s
n = 5, k = 2, res = 10 time: 132.58699999999985s
n = 5, k = 3, res = 10 time: 132.6630000000001s
n = 5, k = 4, res = 5 time: 101.7090000000001s
n = 5, k = 5, res = 1 time: 101.75500000000004s
n = 6, k = 1, res = 6 time: 101.95100000000012s
n = 6, k = 2, res = 15 time: 134.77000000000018s
n = 6, k = 3, res = 20 time: 156.56599999999966s
n = 6, k = 4, res = 15 time: 132.81500000000003s
n = 6, k = 5, res = 6 time: 101.71099999999988s
n = 6, k = 6, res = 1 time: 101.81599999999958s
n = 7, k = 1, res = 7 time: 103.77500000000039s
n = 7, k = 2, res = 21 time: 132.5409999999999s
n = 7, k = 3, res = 35 time: 158.60700000000006s
n = 7, k = 4, res = 35 time: 159.49099999999993s
n = 7, k = 5, res = 21 time: 134.84900000000022s
n = 7, k = 6, res = 7 time: 101.81300000000005s
n = 7, k = 7, res = 1 time: 101.69700000000003s
n = 8, k = 1, res = 8 time: 102.27099999999989s
n = 8, k = 2, res = 28 time: 132.9069999999999s
n = 8, k = 3, res = 56 time: 159.9860000000003s
n = 8, k = 4, res = 70 time: 195.27199999999968s
n = 8, k = 5, res = 56 time: 160.921s
n = 8, k = 6, res = 28 time: 133.45200000000003s
n = 8, k = 7, res = 8 time: 101.81200000000001s
n = 8, k = 8, res = 1 time: 104.09399999999903s
n = 9, k = 1, res = 9 time: 103.54400000000096s
n = 9, k = 2, res = 36 time: 134.0219999999992s
n = 9, k = 3, res = 84 time: 157.96299999999985s
n = 9, k = 4, res = 126 time: 201.56699999999915s
n = 9, k = 5, res = 126 time: 198.5720000000002s
n = 9, k = 6, res = 84 time: 158.6909999999997s
n = 9, k = 7, res = 36 time: 132.795s
n = 9, k = 8, res = 9 time: 101.8640000000004s
n = 9, k = 9, res = 1 time: 101.90200000000038s
n = 10, k = 1, res = 10 time: 102.07500000000036s
n = 10, k = 2, res = 45 time: 132.81099999999935s
n = 10, k = 3, res = 120 time: 171.2760000000002s
n = 10, k = 4, res = 210 time: 207.1959999999995s
n = 10, k = 5, res = 252 time: 241.2890000000001s
n = 10, k = 6, res = 210 time: 206.88400000000053s
n = 10, k = 7, res = 120 time: 172.2849999999998s
n = 10, k = 8, res = 45 time: 132.78299999999965s
n = 10, k = 9, res = 10 time: 102.02299999999997s
n = 10, k = 10, res = 1 time: 101.71400000000052s
n = 11, k = 1, res = 11 time: 101.98099999999988s
n = 11, k = 2, res = 55 time: 132.82099999999963s
n = 11, k = 3, res = 165 time: 170.9499999999997s
n = 11, k = 4, res = 330 time: 217.13399999999993s
n = 11, k = 5, res = 462 time: 261.5370000000006s
n = 11, k = 6, res = 462 time: 262.618s
n = 11, k = 7, res = 330 time: 217.33899999999971s
n = 11, k = 8, res = 165 time: 173.11999999999995s
n = 11, k = 9, res = 55 time: 133.24899999999974s
n = 11, k = 10, res = 11 time: 101.67700000000002s
n = 11, k = 11, res = 1 time: 101.77499999999951s
n = 12, k = 1, res = 12 time: 104.11599999999966s
n = 12, k = 2, res = 66 time: 133.45200000000057s
n = 12, k = 3, res = 220 time: 172.68199999999956s
n = 12, k = 4, res = 495 time: 218.22999999999925s
n = 12, k = 5, res = 792 time: 280.05599999999964s
n = 12, k = 6, res = 924 time: 317.2790000000014s
n = 12, k = 7, res = 792 time: 358.2759999999996s
n = 12, k = 8, res = 495 time: 224.41000000000156s
n = 12, k = 9, res = 220 time: 173.33199999999937s
n = 12, k = 10, res = 66 time: 135.6080000000004s
n = 12, k = 11, res = 12 time: 101.74299999999859s
n = 12, k = 12, res = 1 time: 103.7100000000013s
